personId,ip,h,r,er,bb,k,hr,p,s,hbp,bat_faced,inh_run,inh_run_scored,gameId,outs
123509,7.1,7,4,4,2,7,2,49,41,0,29,0,0,139454,22
115160,1.2,1,0,0,0,2,0,9,9,0,5,1,0,139454,5
120105,6,5,2,2,3,3,2,40,28,0,25,0,0,131264,18
120170,3,2,0,0,2,3,0,24,16,0,12,0,0,131264,9
122060,3.1,8,6,5,0,2,2,22,22,0,18,0,0,139463,10
113393,2.2,2,0,0,0,2,0,14,14,0,10,2,1,139463,8
112287,4,1,0,0,2,2,0,25,17,0,15,0,0,139463,12
120935,9,7,1,1,1,5,0,45,41,0,32,0,0,131279,27
111842,7,2,2,2,6,1,0,47,23,0,27,0,0,131280,21
114089,2,2,2,0,1,0,0,12,8,0,9,0,0,131280,6
122910,8,8,1,1,3,6,0,55,43,0,34,0,0,139473,24
115160,1,0,0,0,0,1,0,5,5,0,3,0,0,139473,3
117514,9,4,1,1,0,8,1,47,47,0,31,0,0,139474,27
117350,7.1,8,1,0,2,4,0,45,36,1,31,0,0,139486,22
114299,2,2,1,1,1,2,0,16,12,0,9,1,0,139486,6
115160,0.2,0,0,0,0,1,0,4,4,0,2,1,0,139486,2
117909,6,10,6,6,1,3,1,38,33,1,29,0,0,131295,18
114299,2,6,5,3,1,1,0,18,14,0,13,0,0,131295,6
111842,5.1,6,3,3,0,1,0,24,24,0,22,0,0,139493,16
112287,0.2,0,0,0,0,0,0,2,2,0,2,1,0,139493,2
113393,1,0,0,0,1,1,0,8,4,0,3,0,0,139493,3
114299,4,3,1,1,0,3,0,21,21,0,15,0,0,139493,12
121100,4,5,5,5,5,1,0,39,19,0,22,0,0,131303,12
120170,0,2,2,2,1,0,1,6,2,0,3,0,0,131303,0
114089,3,3,2,2,1,1,1,17,13,0,12,2,1,131303,9
120105,1,2,1,1,2,0,0,13,5,0,7,0,0,131303,3
123509,9,3,0,0,3,11,0,64,51,1,33,0,0,139495,27
122060,8,4,1,1,4,6,1,55,39,0,31,0,0,139501,24
115160,1,3,2,2,0,2,1,10,10,0,6,0,0,139501,3
117514,9,5,1,1,3,6,1,55,43,0,34,0,0,139502,27
120935,7,4,1,1,3,5,0,46,34,0,27,0,0,131328,21
114089,2,0,0,0,2,1,0,15,7,0,7,0,0,131328,6
122910,7,8,2,2,1,1,1,32,28,0,27,0,0,139520,21
111842,1.1,4,1,1,1,1,0,16,11,1,11,0,0,139520,4
113393,1.2,1,0,0,0,1,0,7,7,0,5,3,0,139520,5
114299,9,3,1,1,4,5,0,56,40,0,34,0,0,131333,27
111842,4.1,4,2,2,4,5,0,43,27,0,21,0,0,131334,13
117909,4.2,2,0,0,1,2,0,24,20,0,17,2,1,131334,14
117350,6.1,8,6,6,1,2,2,35,31,0,28,0,0,139528,19
113393,2.2,1,0,0,0,4,0,17,17,0,9,0,0,139528,8
121100,8.1,4,6,6,6,10,2,75,50,1,37,0,0,131338,25
114089,0.1,2,2,2,0,1,1,5,5,0,3,2,2,131338,1
117909,7,8,3,3,1,1,1,35,31,0,30,0,0,131344,21
114299,2,0,0,0,0,3,0,12,12,0,6,0,0,131344,6
114299,6,4,2,2,2,1,1,31,23,0,23,0,0,139538,18
113393,1,0,2,2,2,1,0,13,5,0,5,0,0,139538,3
122060,2,3,1,1,0,0,1,9,9,0,9,2,2,139538,6
114299,6,4,2,2,2,1,1,31,23,0,23,0,0,139538,18
113393,1,0,2,2,2,1,0,13,5,0,5,0,0,139538,3
122060,2,3,1,1,0,0,1,9,9,0,9,2,2,139538,6
123509,7,5,1,1,2,6,0,46,37,1,28,0,0,139551,21
113393,4,5,1,0,2,3,0,29,21,0,17,0,0,139551,12
123509,7,5,1,1,2,6,0,46,37,1,28,0,0,139551,21
113393,4,5,1,0,2,3,0,29,21,0,17,0,0,139551,12
117514,7,5,1,1,3,3,1,42,30,0,27,0,0,139559,21
117350,1.1,3,1,1,0,0,1,8,8,0,8,0,0,139559,4
111842,0.1,0,0,0,0,1,0,3,3,0,1,1,0,139559,1
112287,0.1,0,0,0,0,0,0,1,1,0,1,1,0,139559,1
114299,9,6,1,1,4,6,0,60,44,0,36,0,0,131370,27
122910,6.1,5,6,6,2,4,2,41,33,0,27,0,0,139565,19
112287,1.2,1,0,0,1,0,0,10,6,0,7,2,2,139565,5
122910,6.1,5,6,6,2,4,2,41,33,0,27,0,0,139565,19
112287,1.2,1,0,0,1,0,0,10,6,0,7,2,2,139565,5
121100,8,2,1,1,5,4,0,54,34,0,31,0,0,131380,24
120935,1,0,0,0,2,0,0,11,3,0,5,0,0,131380,3
122060,6,9,3,2,1,2,0,37,32,1,30,0,0,139575,18
113393,2,2,0,0,0,1,0,9,9,0,7,0,0,139575,6
114299,4.2,6,4,3,6,3,0,52,28,0,28,0,0,139576,14
111842,4.1,2,0,0,3,4,0,34,22,0,17,3,1,139576,13
114299,4.2,6,4,3,6,3,0,52,28,0,28,0,0,139576,14
111842,4.1,2,0,0,3,4,0,34,22,0,17,3,1,139576,13
117350,8.1,7,4,4,3,6,0,57,44,1,36,0,0,139590,25
115160,0.1,0,0,0,1,0,0,5,1,0,2,2,0,139590,1
113393,0,1,0,0,0,0,0,1,1,0,1,3,2,139590,0
111842,1.1,0,0,0,1,2,0,12,8,0,5,2,0,139590,4
117350,8.1,7,4,4,3,6,0,57,44,1,36,0,0,139590,25
115160,0.1,0,0,0,1,0,0,5,1,0,2,2,0,139590,1
113393,0,1,0,0,0,0,0,1,1,0,1,3,2,139590,0
111842,1.1,0,0,0,1,2,0,12,8,0,5,2,0,139590,4
123509,9,6,1,1,4,6,1,59,43,1,35,0,0,139598,27
117909,9,5,0,0,0,2,0,36,35,1,32,0,0,131412,27
117514,5.2,5,2,2,7,3,0,54,26,0,27,0,0,139606,17
113393,0.1,0,0,0,0,0,0,1,1,0,1,3,0,139606,1
112287,1,3,0,0,0,0,0,6,6,0,6,0,0,139606,3
115160,2,0,0,0,0,1,0,8,8,0,6,2,0,139606,6
120935,9,6,5,5,7,5,3,71,42,1,40,0,0,131421,27
114299,6,3,1,1,1,6,1,36,32,0,21,0,0,139615,18
113393,3,1,0,0,1,1,0,16,12,0,11,0,0,139615,9
122060,4.2,4,2,2,4,0,0,34,17,1,22,0,0,139623,14
111842,3.1,3,2,2,3,2,0,29,17,0,16,2,0,139623,10
121100,9,9,3,3,2,4,0,51,43,0,37,0,0,131437,27
114299,9,7,4,4,3,7,2,61,49,0,38,0,0,131438,27
122910,6,8,3,3,3,5,0,46,34,0,27,0,0,139635,18
115160,3,1,0,0,0,3,0,16,16,0,10,3,1,139635,9
117350,5,6,5,5,1,1,2,27,23,0,22,0,0,139636,15
123509,2,4,2,1,1,2,0,19,15,0,12,3,3,139636,6
112287,1,0,0,0,0,0,0,3,3,0,3,0,0,139636,3
111842,0.2,1,4,4,4,1,0,22,5,1,8,0,0,131445,2
121683,4,4,5,5,4,5,1,42,26,0,20,2,0,131445,12
111701,0.1,0,0,0,0,0,0,1,1,0,1,2,0,131445,1
118125,3,3,2,2,1,1,1,17,13,0,12,0,0,131445,9
119729,1,0,0,0,0,2,0,7,7,0,3,0,0,131445,3
120105,4.1,6,2,1,2,0,0,28,20,0,22,0,0,131446,13
119729,2.1,3,3,3,3,0,0,22,10,0,13,2,0,131446,7
114089,2.1,4,2,2,1,0,0,15,11,0,12,1,0,131446,7
117514,4.1,2,2,2,6,3,0,44,20,0,20,0,0,139641,13
111842,1.1,0,4,4,4,0,0,19,4,0,8,3,1,139641,4
113393,1.1,3,0,0,2,0,0,16,7,0,9,3,4,139641,4
115160,2,1,0,0,1,0,0,9,5,0,6,0,0,139641,6
117909,6,8,5,3,2,1,1,35,27,0,27,0,0,131451,18
114299,2.1,3,3,2,2,0,1,19,11,0,13,0,0,131451,7
114299,2.1,5,4,2,3,2,0,29,17,0,16,0,0,139648,7
117350,4.2,5,1,1,4,5,0,44,28,0,22,2,0,139648,14
111842,2,3,2,2,0,1,0,10,10,0,8,0,0,139648,6
114299,2.1,5,4,2,3,2,0,29,17,0,16,0,0,139648,7
117350,4.2,5,1,1,4,5,0,44,28,0,22,2,0,139648,14
111842,2,3,2,2,0,1,0,10,10,0,8,0,0,139648,6
122060,8,7,4,3,2,2,1,42,34,0,32,0,0,139657,24
